event_id,alert_type,cities,matched_cities,timestamp,datetime,date,weekday,hour,minute_of_day
6443,0,"צפת - נוף כנרת, צפת - עכברה, אושה, אזור תעשייה שער נעמן, אפק, חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל, כפר ביאליק, כפר המכבי, קריית אתא, קריית ביאליק, קריית ים, קריית מוצקין, רמת יוחנן, אזור תעשייה קריית ביאליק, נשר, אזור תעשייה בר-לב, אזור תעשייה כרמיאל, אחיהוד, אליפלט, אעבלין, ביר אלמכסור, בית ג'אן, בענה, ג'דידה מכר, דיר אל-אסד, דמיידה, הר חלוץ, חרשים, טירת כרמל, טמרה, יובלים, יודפת, יסעור, יעד, כאבול, כאוכב אבו אלהיג'א, כפר גלים, כפר מנדא, כפר מסריק, כרמיאל, לבון, מג'דל כרום, מורשת, מנוף, מצפה אבי''ב, מרכז אזורי משגב, נחף, סאג'ור, עדי, עין אל אסד, עין המפרץ, עכו - אזור תעשייה, עכו - רמות ים, עכו, עמיעד, עצמון - שגב, ערב אל נעים, צורית גילון, קורנית, ראמה, ראס עלי, רקפת, שורשים, שזור, שכניה, שעב, שפרעם, אבטליון, אזור תעשייה תרדיון, אמירים, אשבל, אשחר, בית העלמין החדש עכו, בית סוהר צלמון, ג'וליס, דיר חנא, הררית יחד, חוסנייה, חוקוק, חזון, טל - אל, טפחות, כחל, כישור, כלנית, כמון - כמאנה מזרחית, כסרא סמיע, כפר חנניה, כפר שמאי, לוטם וחמדון, לפידות, מורן, מכמנים - כמאנה מערבית, מסד, מע'אר, מעלה צביה, מרכז אזורי רמת כורזים, סכנין, סלמה, עילבון, עראבה, פלך, פרוד, קדרים, ראס אל-עין, שפר, תובל, בית עלמין תל רגב, חמדת ימים, כפר ח'וואלד","חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל",1774124626,2026-03-21 22:23:46+02:00,2026-03-21,Saturday,22,1343.7666666666667
6443,0,"אושה, אזור תעשייה שער נעמן, אפק, חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל, כפר ביאליק, כפר המכבי, קריית אתא, קריית ביאליק, קריית ים, קריית מוצקין, רמת יוחנן, אזור תעשייה קריית ביאליק, נשר, אזור תעשייה בר-לב, אחיהוד, אעבלין, ביר אלמכסור, בסמת טבעון, דמיידה, טירת כרמל, טמרה, יובלים, יודפת, יסעור, יעד, כאבול, כאוכב אבו אלהיג'א, כפר גלים, כפר מנדא, כפר מסריק, מורשת, מנוף, מצפה אבי''ב, מרכז אזורי משגב, עדי, עכו - אזור תעשייה, עצמון - שגב, ערב אל נעים, צורית גילון, קורנית, ראס עלי, רקפת, שורשים, שכניה, שעב, שפרעם, אבטליון, אזור תעשייה ניר עציון, אזור תעשייה תרדיון, אשבל, אשחר, בית סוהר קישון, דיר חנא, הררית יחד, חוסנייה, לוטם וחמדון, מכמנים - כמאנה מערבית, מעלה צביה, סכנין, סלמה, עראבה, עתלית, בית עלמין תל רגב, כפר ח'וואלד","חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל",1774124807,2026-03-21 22:26:47+02:00,2026-03-21,Saturday,22,1346.7833333333333
6498,0,חיפה - בת גלים ק.אליעזר,חיפה - בת גלים ק.אליעזר,1774241918,2026-03-23 06:58:38+02:00,2026-03-23,Monday,6,418.6333333333333
6521,0,"אושה, אזור תעשייה שער נעמן, אפק, חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל, כפר ביאליק, כפר המכבי, קריית אתא, קריית ביאליק, קריית ים, קריית מוצקין, רמת יוחנן, אזור תעשייה קריית ביאליק, נשר, אזור תעשייה בר-לב, אזור תעשייה כרמיאל, אחיהוד, איבטין, אלון הגליל, אעבלין, ביר אלמכסור, בית אורן, בסמת טבעון, בענה, גבעת וולפסון, דמיידה, החותרים, הסוללים, הרדוף, חג'אג'רה, חנתון, טירת כרמל, טמרה, יגור, יובלים, יודפת, יסעור, יעד, כאבול, כאוכב אבו אלהיג'א, כעביה טבאש, כפר גלים, כפר חסידים, כפר מנדא, כפר מסריק, כרמיאל, מג'דל כרום, מורשת, מנוף, מצפה אבי''ב, מרכז אזורי משגב, נופית, נחף, עדי, עכו - אזור תעשייה, עספיא, עצמון - שגב, ערב אל נעים, צורית גילון, קורנית, ראס עלי, רכסים, רקפת, שורשים, שזור, שכניה, שעב, שפרעם, אבטליון, אזור תעשייה תרדיון, אשבל, אשחר, בועיינה-נוג'ידאת, בית סוהר צלמון, בית סוהר קישון, בית צבי, בית רימון, דיר חנא, הררית יחד, ואדי אל חמאם, חוסנייה, חוקוק, חזון, טפחות, כחל, כלנית, כמון - כמאנה מזרחית, כפר חנניה, לבנים, לוטם וחמדון, מגדים, מורן, מכמנים - כמאנה מערבית, מסד, מע'אר, מעלה צביה, מצפה נטופה, סכנין, סלמה, עוזייר, רומאנה, עילבון, עראבה, פרוד, קדרים, ראס אל-עין, רביד, רומת אל הייב, בית עלמין תל רגב, כפר ח'וואלד, סואעד חמירה","חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל",1774304534,2026-03-24 00:22:14+02:00,2026-03-24,Tuesday,0,22.233333333333334
6531,0,"אזור תעשייה שער נעמן, חיפה - קריית חיים ושמואל, קריית ים, קריית מוצקין",חיפה - קריית חיים ושמואל,1774340615,2026-03-24 10:23:35+02:00,2026-03-24,Tuesday,10,623.5833333333334
6531,0,חיפה - מפרץ,חיפה - מפרץ,1774340626,2026-03-24 10:23:46+02:00,2026-03-24,Tuesday,10,623.7666666666667
6578,0,"יסעור, חיפה - קריית חיים ושמואל, קריית ים, קריית מוצקין",חיפה - קריית חיים ושמואל,1774434960,2026-03-25 12:36:00+02:00,2026-03-25,Wednesday,12,756.0
6590,0,"חיפה - מפרץ, חיפה - קריית חיים ושמואל, קריית אתא, קריית ביאליק, קריית מוצקין","חיפה - מפרץ, חיפה - קריית חיים ושמואל",1774450504,2026-03-25 16:55:04+02:00,2026-03-25,Wednesday,16,1015.0666666666667
6620,0,"אושה, אזור תעשייה שער נעמן, אפק, חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל, כפר ביאליק, כפר המכבי, קריית אתא, קריית ביאליק, קריית ים, קריית מוצקין, רמת יוחנן, אזור תעשייה קריית ביאליק, נשר, אורנים, אזור תעשייה בר-לב, אחיהוד, איבטין, אלון הגליל, אלוני אבא, אלונים, אעבלין, ביר אלמכסור, בית אורן, בית לחם הגלילית, בסמת טבעון, ג'דידה מכר, גבעת וולפסון, דלית אל כרמל, דמיידה, החותרים, הסוללים, הרדוף, חג'אג'רה, חנתון, טירת כרמל, טמרה, יגור, יובלים, יודפת, יסעור, יעד, כאבול, כאוכב אבו אלהיג'א, כעביה טבאש, כפר גלים, כפר חסידים, כפר מנדא, כפר מסריק, כפר תקווה, כרמיאל, מג'דל כרום, מורשת, מנוף, מצפה אבי''ב, מרכז אזורי משגב, נופית, עדי, עין המפרץ, עכו - אזור תעשייה, עכו - רמות ים, עכו, עספיא, עצמון - שגב, ערב אל נעים, צורית גילון, קורנית, קריית טבעון - בית זייד, ראס עלי, רכסים, רקפת, שדה יעקב, שורשים, שכניה, שעב, שער העמקים, שפרעם, אזור תעשייה ניר עציון, אזור תעשייה תרדיון, אשבל, אשחר, בית העלמין החדש עכו, בית סוהר קישון, בית צבי, ג'וליס, גבע כרמל, טל - אל, מגדים, נווה ים, ניר עציון, ימין אורד, סכנין, עין הוד, עין חוד, עין כרמל, עתלית, פלך, צרופה, תובל, בית עלמין תל רגב, כפר ח'וואלד, סואעד חמירה","חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - מפרץ, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל",1774509206,2026-03-26 09:13:26+02:00,2026-03-26,Thursday,9,553.4333333333333
6653,0,"חיפה - מפרץ, חיפה - קריית חיים ושמואל, קריית ים","חיפה - מפרץ, חיפה - קריית חיים ושמואל",1774551676,2026-03-26 21:01:16+02:00,2026-03-26,Thursday,21,1261.2666666666667
6653,0,"חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב","חיפה - בת גלים ק.אליעזר, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב",1774551696,2026-03-26 21:01:36+02:00,2026-03-26,Thursday,21,1261.6
6655,0,"בענה, דיר אל-אסד, הר חלוץ, לבון, נחף, גיתה, כישור, כסרא סמיע, לפידות, מגדל תפן, אזור תעשייה כרמיאל, כרמיאל, מג'דל כרום, תובל, אושה, אפק, חיפה - מפרץ, חיפה - קריית חיים ושמואל, כפר ביאליק, כפר המכבי, קריית אתא, קריית ביאליק, קריית מוצקין, רמת יוחנן, נשר, אורנים, איבטין, אלוני אבא, אלונים, אעבלין, בסמת טבעון, דלית אל כרמל, הרדוף, טמרה, יגור, כעביה טבאש, כפר חסידים, כפר תקווה, נופית, עדי, עספיא, קריית טבעון - בית זייד, ראס עלי, רכסים, שדה יעקב, שער העמקים, שפרעם, רמת ישי, בית סוהר קישון, בית עלמין תל רגב, כפר ח'וואלד, סואעד חמירה, תחנת רכבת כפר יהושוע","חיפה - מפרץ, חיפה - קריית חיים ושמואל",1774552265,2026-03-26 21:11:05+02:00,2026-03-26,Thursday,21,1271.0833333333333
6713,0,"קריית ים, אזור תעשייה שער נעמן, חיפה - קריית חיים ושמואל, קריית ביאליק, קריית מוצקין",חיפה - קריית חיים ושמואל,1774631437,2026-03-27 20:10:37+03:00,2026-03-27,Friday,20,1210.6166666666666
